Year;Course #;Course Name;Round;Hole;Fwy Width 250;Actual 250 Distance;Fwy Width 275;Actual 275 Distance;Fwy Width 300;Actual 300 Distance;Fwy Width 325;Actual 325 Distance;Fwy Width 350;Actual 350 Distance;Fwy Firmness;Grn Firmness;Grn Height;Rough Height;Fwy Height;Stimp;AM Wind Spd;AM Wind Dir;PM Wind Spd;PM Wind Dir;Scorecard Ydg;Actual Ydg;Par;Green Grass;Fwy. Grass;Tee Grass;Bunker Grass;Rough Grass;
2018;004;Torrey Pines GC (South); 1; 1;  25;  27;  25;  30;  25;  32;  25;  35;  25;  37;Firm;Firm;.90;3.00;.42;12.50;  Var 3-6;SW; W 5-10;IW;450;431;4;Poa annua;Common 419 Bermudagrass;Common 419 Bermudagrass;Unknown;Common 419 Bermudagrass;
2018;004;Torrey Pines GC (South); 1; 2;  30;  25;  29;  27;  29;  30;  24;  32;  13;  35;Firm;Firm;.90;3.00;.42;12.50;  Var 3-6;SW; W 5-10;RL;389;395;4;Poa annua;Common 419 Bermudagrass;Common 419 Bermudagrass;Unknown;Common 419 Bermudagrass;
2018;004;Torrey Pines GC (South); 1; 3;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;Firm;Firm;.90;3.00;.42;12.50;  Var 3-6;SW; W 5-10;RL;200;192;3;Poa annua;Common 419 Bermudagrass;Common 419 Bermudagrass;Unknown;Common 419 Bermudagrass;
2018;004;Torrey Pines GC (South); 1; 4;  28;  25;  26;  27;  25;  30;  24;  32;  27;  35;Firm;Firm;.90;3.00;.42;12.50;  Var 3-6;SW; W 5-10;LR;488;491;4;Poa annua;Common 419 Bermudagrass;Common 419 Bermudagrass;Unknown;Common 419 Bermudagrass;
2018;004;Torrey Pines GC (South); 1; 5;  27;  25;  25;  27;  22;  30;  23;  32;  25;  35;Firm;Firm;.90;3.00;.42;12.50;  Var 3-6;SW; W 5-10;RL;454;436;4;Poa annua;Common 419 Bermudagrass;Common 419 Bermudagrass;Unknown;Common 419 Bermudagrass;
2018;004;Torrey Pines GC (South); 1; 6;  29;  25;  28;  27;  27;  30;  27;  32;  27;  35;Firm;Firm;.90;3.00;.42;12.50;  Var 3-6;SW; W 5-10;LR;560;560;5;Poa annua;Common 419 Bermudagrass;Common 419 Bermudagrass;Unknown;Common 419 Bermudagrass;
2018;004;Torrey Pines GC (South); 1; 7;  26;  25;  26;  27;  24;  30;  26;  32;  25;  35;Firm;Firm;.90;3.00;.42;12.50;  Var 3-6;SW; W 5-10;RL;462;471;4;Poa annua;Common 419 Bermudagrass;Common 419 Bermudagrass;Unknown;Common 419 Bermudagrass;
2018;004;Torrey Pines GC (South); 1; 8;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;Firm;Firm;.90;3.00;.42;12.50;  Var 3-6;SW; W 5-10;DW;176;170;3;Poa annua;Common 419 Bermudagrass;Common 419 Bermudagrass;Unknown;Common 419 Bermudagrass;
2018;004;Torrey Pines GC (South); 1; 9;  26;  25;  26;  28;  26;  30;  25;  33;  25;  35;Firm;Firm;.90;3.00;.42;12.50;  Var 3-6;SW; W 5-10;RL;614;609;5;Poa annua;Common 419 Bermudagrass;Common 419 Bermudagrass;Unknown;Common 419 Bermudagrass;
2018;004;Torrey Pines GC (South); 1;10;  29;  25;  27;  27;  23;  30;  23;  32;  22;  35;Firm;Firm;.90;3.00;.42;12.50;  Var 3-6;SW; W 5-10;RL;416;406;4;Poa annua;Common 419 Bermudagrass;Common 419 Bermudagrass;Unknown;Common 419 Bermudagrass;
2018;004;Torrey Pines GC (South); 1;11;   0;   0;   0;   0;   0;   0;   0;   0;   0;   0;Firm;Firm;.90;3.00;.42;12.50;  Var 3-6;SW; W 5-10;IW;221;214;3;Poa annua;Common 419 Bermudagrass;Common 419 Bermudagrass;Unknown;Common 419 Bermudagrass;
2018;004;Torrey Pines GC (South); 1;12;  26;  25;  26;  27;  26;  30;  25;  32;  26;  35;Firm;Firm;.90;3.00;.42;12.50;  Var 3-6;SW; W 5-10;LR;504;503;4;Poa annua;Common 419 Bermudagrass;Common 419 Bermudagrass;Unknown;Common 419 Bermudagrass;
2018;004;Torrey Pines GC (South); 1;13;  36;  17;  45;  20;  40;  22;  33;  25;  26;  28;Firm;Firm;.90;3.00;.42;12.50;  Var 3-6;SW; W 5-10;DW;614;531;5;Poa annua;Common 419 Bermudagrass;Common 419 Bermudagrass;Unknown;Common 419 Bermudagrass;
2018;004;Torrey Pines GC (South); 1;14;  25;  25;  24;  28;  23;  30;  24;  33;  23;  35;Firm;Firm;.90;3.00;.42;12.50;  Var 3-6;SW; W 5-10;LR;437;437;4;Poa annua;Common 419 Bermudagrass;Common 419 Bermudagrass;Unknown;Common 419 Bermudagrass;
